Model,Sample Size,F1 Score,FP,Attack,Epsilon,F1 Score (Adv),FP (Adv),ASR (FP)
DNN,175412,99.9%,322,FGSM,1,100.0%,69,0.1%
DNN,175412,99.9%,322,FGSM,5,100.0%,69,0.1%
DT,175412,100.0%,99,FGSM,1,99.9%,137,0.1%
DT,175412,100.0%,99,FGSM,5,99.9%,137,0.1%
RF,175412,100.0%,97,FGSM,1,100.0%,48,0.0%
RF,175412,100.0%,97,FGSM,5,100.0%,48,0.0%
ET,175412,100.0%,97,FGSM,1,100.0%,47,0.0%
ET,175412,100.0%,97,FGSM,5,100.0%,47,0.0%
XGBoost,175412,100.0%,115,FGSM,1,99.9%,137,0.1%
XGBoost,175412,100.0%,115,FGSM,5,99.9%,137,0.1%
DNN,175412,99.9%,322,BIM,1,100.0%,69,0.1%
DNN,175412,99.9%,322,BIM,5,100.0%,69,0.1%
DT,175412,100.0%,99,BIM,1,99.9%,137,0.1%
DT,175412,100.0%,99,BIM,5,99.9%,137,0.1%
RF,175412,100.0%,97,BIM,1,100.0%,48,0.0%
RF,175412,100.0%,97,BIM,5,100.0%,48,0.0%
ET,175412,100.0%,97,BIM,1,100.0%,47,0.0%
ET,175412,100.0%,97,BIM,5,100.0%,47,0.0%
XGBoost,175412,100.0%,115,BIM,1,99.9%,137,0.1%
XGBoost,175412,100.0%,115,BIM,5,99.9%,137,0.1%
DNN,175412,99.9%,322,PGD,1,100.0%,59,0.0%
DNN,175412,99.9%,322,PGD,5,100.0%,93,0.1%
DT,175412,100.0%,99,PGD,1,99.9%,214,0.2%
DT,175412,100.0%,99,PGD,5,99.8%,440,0.4%
RF,175412,100.0%,97,PGD,1,100.0%,27,0.0%
RF,175412,100.0%,97,PGD,5,100.0%,65,0.1%
ET,175412,100.0%,97,PGD,1,100.0%,9,0.0%
ET,175412,100.0%,97,PGD,5,100.0%,19,0.0%
XGBoost,175412,100.0%,115,PGD,1,100.0%,51,0.0%
XGBoost,175412,100.0%,115,PGD,5,99.9%,191,0.2%
